ocreval Word Accuracy Report Version 7.0
----------------------------------------
     264   Words
     127   Misrecognized
   51.89%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       3        3     0.00        2
       3        3     0.00    Total

Non-stopwords
   Count   Missed   %Right   Length
       7        7     0.00        1
      40       12    70.00        2
      84       54    35.71        3
      45        9    80.00        4
      15        4    73.33        5
      26       13    50.00        6
      16        7    56.25        7
      14       10    28.57        8
       7        4    42.86        9
       5        2    60.00       10
       1        1     0.00       11
       1        1     0.00       12
     261      124    52.49    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     129       59    54.26        1
      17        7    58.82        2
       5        1    80.00        3
       6        3    50.00        4
       1        0   100.00        5
       1        1     0.00        6
       1        1     0.00        7
       2        0   100.00        8
       1        0   100.00        9
       1        1     0.00      >10
     164       73    55.49    Total

Phrases
   Count   Missed   %Right   Length
     264      127    51.89        1
     263      182    30.80        2
     262      211    19.47        3
     261      232    11.11        4
     260      244     6.15        5
     259      250     3.47        6
     258      254     1.55        7
     257      256     0.39        8

Stopwords
   Count   Missed   %Right   
       1        1     0.00   in
       1        1     0.00   no
       1        1     0.00   on

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   abandonner
       1        1     0.00   agi
       1        1     0.00   aire
       1        1     0.00   amment
       1        0   100.00   apres
       1        1     0.00   ardeur
       1        1     0.00   attaques
       1        0   100.00   au
       2        0   100.00   auec
       3        0   100.00   aux
       1        0   100.00   bien
       2        2     0.00   c'e
       1        0   100.00   cachée
       1        0   100.00   ce
       1        0   100.00   ces
       1        0   100.00   cet
       1        0   100.00   cette
       1        0   100.00   ceux
       1        0   100.00   chercher
       1        0   100.00   chere
       1        1     0.00   choſes
       1        0   100.00   combattent
       1        0   100.00   comme
       2        2     0.00   con
       1        0   100.00   contrainte
       1        0   100.00   dans
       8        1    87.50   de
       1        0   100.00   depuis
       1        1     0.00   derable
       1        1     0.00   derant
       1        0   100.00   des
       1        0   100.00   donc
       1        0   100.00   dont
       1        0   100.00   doute
       1        1     0.00   découuert
       7        7     0.00   e
       1        0   100.00   ecrits
       1        1     0.00   eindre
       4        2    50.00   en
       1        0   100.00   encore
       1        0   100.00   ennemis
       1        1     0.00   ent
       1        0   100.00   enuieux
       1        0   100.00   epistre
       1        1     0.00   er
       1        0   100.00   erreurs
       1        1     0.00   expoſez
       1        1     0.00   ez
       1        1     0.00   eſperer
       1        0   100.00   faut
       1        0   100.00   garde
       1        0   100.00   ge
       1        0   100.00   gloire
       1        0   100.00   grand
       1        0   100.00   grandes
       1        0   100.00   hommes
       1        1     0.00   i'ay
       1        1     0.00   i'expoſe
       1        1     0.00   iay
       3        1    66.67   ie
       2        1    50.00   il
       1        1     0.00   illu
       1        0   100.00   ils
       1        1     0.00   ime
       1        1     0.00   indifference
       1        1     0.00   indifferens
       1        1     0.00   inſpire
       2        0   100.00   la
       4        0   100.00   le
       3        0   100.00   les
       1        0   100.00   leur
       1        0   100.00   leurs
       1        0   100.00   librement
       1        0   100.00   libres
       1        1     0.00   loſophe
       1        1     0.00   lumieres
       1        0   100.00   m'a
       1        1     0.00   m'o
       1        0   100.00   ma
       1        1     0.00   mai
       1        0   100.00   mais
       2        0   100.00   merite
       1        0   100.00   mes
       1        0   100.00   mettent
       2        2     0.00   meſme
       2        0   100.00   monsievr
       1        0   100.00   mort
       1        0   100.00   moy
       1        0   100.00   moyens
       1        0   100.00   n'ay
       2        2     0.00   n'e
       5        0   100.00   ne
       1        1     0.00   nece
       1        0   100.00   nos
       2        0   100.00   nous
       1        1     0.00   occa
       1        1     0.00   onner
       1        1     0.00   ordinaire
       1        1     0.00   ours
       1        0   100.00   ouura
       1        0   100.00   ouy
       1        0   100.00   partie
       3        0   100.00   pas
       1        1     0.00   peuuent
       1        0   100.00   phi
       2        0   100.00   plus
       1        0   100.00   porte
       4        0   100.00   pour
       1        1     0.00   preſent
       1        1     0.00   preſente
       1        0   100.00   pris
       1        1     0.00   public
       1        1     0.00   pui
       1        1     0.00   puißions
       1        1     0.00   puiſque
       1        0   100.00   qu'elle
       1        0   100.00   qu'ils
       1        1     0.00   qu'vn
       8        0   100.00   que
       2        1    50.00   qui
       1        1     0.00   raiſons
       4        4     0.00   re
       1        0   100.00   rend
       1        0   100.00   rendre
       1        1     0.00   res
       2        2     0.00   reſpe
       1        1     0.00   s'e
       1        0   100.00   s'eforcent
       1        0   100.00   s'y
       2        0   100.00   tant
       1        0   100.00   ternir
       1        1     0.00   tou
       1        0   100.00   tout
       1        0   100.00   toute
       1        0   100.00   toutefois
       2        1    50.00   trop
       1        0   100.00   veuillent
       1        0   100.00   vn
       1        0   100.00   vne
       1        0   100.00   voir
       1        0   100.00   volonté
       9        0   100.00   vous
       1        1     0.00   vſage
       1        1     0.00   é
       1        1     0.00   éblouy
       1        1     0.00   éclat
       1        0   100.00   égaler
       1        1     0.00   éuiter
       1        1     0.00   ſa
       2        2     0.00   ſans
       1        1     0.00   ſe
       1        1     0.00   ſeruez
       1        1     0.00   ſes
       1        1     0.00   ſorte
       1        1     0.00   ſource
       1        1     0.00   ſujet
       1        1     0.00   ſur
       1        1     0.00   ſçauez
      16       16     0.00   
       6        6     0.00   
       4        4     0.00   
       2        2     0.00   
       4        4     0.00   
       3        3     0.00   
