ocreval Word Accuracy Report Version 7.0
----------------------------------------
     268   Words
     133   Misrecognized
   50.37%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       7        4    42.86        1
      30       10    66.67        2
      40        8    80.00        3
      34       13    61.76        4
       3        2    33.33        5
     114       37    67.54    Total

Non-stopwords
   Count   Missed   %Right   Length
      12       11     8.33        1
      15       14     6.67        2
      30       25    16.67        3
      28       15    46.43        4
      27       14    48.15        5
      12        6    50.00        6
      12        2    83.33        7
       7        2    71.43        8
       5        2    60.00        9
       4        3    25.00       10
       1        1     0.00       11
       1        1     0.00       13
     154       96    37.66    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     105       67    36.19        1
      11        7    36.36        2
       3        1    66.67        3
       1        1     0.00        4
       1        1     0.00        5
       1        0   100.00        9
     122       77    36.89    Total

Phrases
   Count   Missed   %Right   Length
     268      133    50.37        1
     267      181    32.21        2
     266      214    19.55        3
     265      235    11.32        4
     264      246     6.82        5
     263      253     3.80        6
     262      256     2.29        7
     261      258     1.15        8

Stopwords
   Count   Missed   %Right   
       2        1    50.00   a
       1        0   100.00   all
       8        4    50.00   and
       1        0   100.00   are
       1        0   100.00   as
       4        0   100.00   be
       2        0   100.00   but
       2        2     0.00   do
       5        0   100.00   for
       2        0   100.00   from
       2        1    50.00   he
       5        3    40.00   i
       1        1     0.00   if
       4        2    50.00   in
       1        1     0.00   into
       2        1    50.00   is
       1        0   100.00   know
       1        0   100.00   man
       2        0   100.00   me
       2        0   100.00   more
       2        1    50.00   my
       4        0   100.00   not
       2        0   100.00   of
       1        1     0.00   on
       2        1    50.00   over
       2        0   100.00   so
       7        2    71.43   that
      15        2    86.67   the
       1        1     0.00   their
       2        1    50.00   then
       2        1    50.00   there
       5        2    60.00   they
       4        2    50.00   this
       4        0   100.00   to
       1        1     0.00   us
       1        1     0.00   was
       1        1     0.00   were
       2        1    50.00   what
       2        1    50.00   when
       3        1    66.67   will
       2        1    50.00   you

Non-stopwords
   Count   Missed   %Right   
       4        4     0.00   1
       3        3     0.00   13
       1        1     0.00   130.6
       1        1     0.00   15
       2        2     0.00   16
       1        1     0.00   2
       1        1     0.00   25
       1        1     0.00   26
       1        1     0.00   33
       1        1     0.00   4
       1        1     0.00   4.2
       1        1     0.00   41
       1        1     0.00   49
       1        1     0.00   5
       1        1     0.00   5.6.2
       1        1     0.00   6
       1        1     0.00   8
       1        1     0.00   affliction
       1        1     0.00   am
       1        1     0.00   among
       1        0   100.00   annexed
       1        1     0.00   anſwer
       1        0   100.00   ber
       2        2     0.00   ble
       1        1     0.00   bleſ
       1        1     0.00   col
       1        1     0.00   com
       1        1     0.00   cor
       1        0   100.00   david
       1        0   100.00   day
       3        1    66.67   duty
       1        1     0.00   ed
       1        1     0.00   eph
       1        0   100.00   eth
       1        0   100.00   exerci
       1        1     0.00   exerciſed
       1        0   100.00   exhorteth
       1        0   100.00   faith
       2        0   100.00   fall
       1        0   100.00   falling
       1        1     0.00   faﬆ
       1        0   100.00   fore
       1        0   100.00   grace
       1        0   100.00   gracious
       1        0   100.00   h
       1        1     0.00   hab
       1        0   100.00   habakkuk
       1        0   100.00   heed
       1        0   100.00   hour
       1        0   100.00   indure
       1        0   100.00   inherit
       1        1     0.00   ions
       1        1     0.00   lea
       1        1     0.00   let
       1        0   100.00   lord
       1        1     0.00   mar
       2        2     0.00   mat
       2        0   100.00   morning
       2        0   100.00   much
       1        0   100.00   nor
       1        0   100.00   ones
       1        1     0.00   others
       1        1     0.00   paul
       1        1     0.00   pos
       1        1     0.00   pray
       2        0   100.00   prophet
       1        1     0.00   proﬁtable
       1        1     0.00   pſalm
       1        1     0.00   re
       1        0   100.00   reckoned
       1        1     0.00   reproved
       1        1     0.00   rine
       1        1     0.00   rong
       3        0   100.00   saints
       1        1     0.00   scripture
       1        1     0.00   t
       1        0   100.00   take
       1        1     0.00   taken
       1        0   100.00   teacheth
       1        0   100.00   temptation
       1        1     0.00   themselves
       1        0   100.00   therefore
       1        1     0.00   theſ
       1        0   100.00   things
       1        1     0.00   thou
       1        0   100.00   thoughts
       1        1     0.00   tim
       1        0   100.00   timothy
       1        0   100.00   tis
       1        0   100.00   tower
       1        1     0.00   u
       1        0   100.00   unto
       1        1     0.00   upon
       1        0   100.00   urged
       1        1     0.00   uſes
       1        1     0.00   vſe
       1        0   100.00   waiteth
       9        2    77.78   watch
       1        0   100.00   watchfull
       1        1     0.00   watchfulneſs
       1        0   100.00   wherein
       1        0   100.00   words
       1        0   100.00   ye
       1        1     0.00   ſaid
       1        1     0.00   ſaith
       2        2     0.00   ſay
       1        1     0.00   ſed
       1        1     0.00   ſedneſs
       1        1     0.00   ſee
       1        1     0.00   ſet
       2        2     0.00   ſhall
       1        1     0.00   ſhould
       1        1     0.00   ſleep
       1        1     0.00   ſo
       1        1     0.00   ſon
       2        2     0.00   ſoul
       5        5     0.00   
       1        1     0.00   
       1        1     0.00   
       2        2     0.00   
       1        1     0.00   ﬁnally
       1        1     0.00   ﬂow
