ocreval Word Accuracy Report Version 7.0
----------------------------------------
      46   Words
       3   Misrecognized
   93.48%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       2        0   100.00        2
       2        0   100.00    Total

Non-stopwords
   Count   Missed   %Right   Length
       8        0   100.00        2
       9        1    88.89        3
       4        0   100.00        4
       3        1    66.67        5
       4        0   100.00        6
       3        0   100.00        7
       2        0   100.00        8
       6        1    83.33        9
       2        0   100.00       10
       1        0   100.00       12
       1        0   100.00       13
       1        0   100.00       14
      44        3    93.18    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
      32        3    90.62        1
       2        0   100.00        2
       1        0   100.00        3
       1        0   100.00        5
      36        3    91.67    Total

Phrases
   Count   Missed   %Right   Length
      46        3    93.48        1
      45        3    93.33        2
      44        3    93.18        3
      43        3    93.02        4
      42        3    92.86        5
      41        3    92.68        6
      40        3    92.50        7
      39        3    92.31        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   in
       1        0   100.00   on

Non-stopwords
   Count   Missed   %Right   
       1        0   100.00   aan
       1        0   100.00   alle
       1        0   100.00   behoud
       1        0   100.00   beoefening
       1        0   100.00   bevorderd
       1        0   100.00   bijbelkennis
       1        0   100.00   blijkbaar
       3        0   100.00   de
       1        0   100.00   dingen
       1        0   100.00   een
       1        0   100.00   egte
       5        0   100.00   en
       1        0   100.00   gehoorzaamheid
       1        0   100.00   geloof
       1        0   100.00   gemaakt
       1        0   100.00   getrouwe
       1        0   100.00   geveinsde
       1        0   100.00   geëerde
       1        0   100.00   gods
       1        0   100.00   godvrucht
       1        0   100.00   goede
       1        0   100.00   het
       1        0   100.00   lezer
       1        0   100.00   onderzoek
       1        0   100.00   opregt
       1        1     0.00   phi
       2        0   100.00   ter
       1        0   100.00   vaarwel
       2        0   100.00   van
       1        0   100.00   verbond
       1        0   100.00   vermeerdering
       1        1     0.00   voorreden
       1        0   100.00   ware
       1        0   100.00   welgegrond
       1        0   100.00   wor
       1        1     0.00   xxxvi
