ocreval Word Accuracy Report Version 7.0
----------------------------------------
     266   Words
     144   Misrecognized
   45.86%  Accuracy

Stopwords
   Count   Missed   %Right   Length
      13        4    69.23        2
      13        4    69.23    Total

Non-stopwords
   Count   Missed   %Right   Length
       5        4    20.00        1
      31       16    48.39        2
      73       42    42.47        3
      30       14    53.33        4
      25       16    36.00        5
      34       15    55.88        6
      11        6    45.45        7
      15        8    46.67        8
      11        6    45.45        9
       8        6    25.00       10
       4        3    25.00       11
       5        4    20.00       12
       1        0   100.00       15
     253      140    44.66    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     110       52    52.73        1
      23       10    56.52        2
      10        4    60.00        3
       6        3    50.00        4
       2        0   100.00        5
       2        0   100.00        6
       1        0   100.00        8
       1        0   100.00      >10
     155       69    55.48    Total

Phrases
   Count   Missed   %Right   Length
     266      144    45.86        1
     265      160    39.62        2
     264      172    34.85        3
     263      182    30.80        4
     262      191    27.10        5
     261      199    23.75        6
     260      207    20.38        7
     259      213    17.76        8

Stopwords
   Count   Missed   %Right   
       1        0   100.00   an
       3        2    33.33   be
       5        1    80.00   in
       1        0   100.00   is
       3        1    66.67   of

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   4
       1        0   100.00   55
       2        0   100.00   aan
       1        0   100.00   aandagtig
       1        1     0.00   aande
       1        0   100.00   aannemen
       1        1     0.00   aart
       1        1     0.00   aat
       1        0   100.00   al
       1        1     0.00   alles
       1        0   100.00   als
       2        2     0.00   andere
       1        1     0.00   aﬂeiden
       1        0   100.00   beding
       1        0   100.00   bekeeren
       1        0   100.00   bekeering
       1        0   100.00   belofte
       1        0   100.00   belooft
       1        1     0.00   benaming
       1        0   100.00   betuigen
       1        0   100.00   bewoordingen
       1        1     0.00   beſchreven
       1        0   100.00   bid
       1        1     0.00   bijbel
       1        0   100.00   brengt
       1        1     0.00   c
       1        0   100.00   christus
       1        1     0.00   contra
       1        1     0.00   d
       1        0   100.00   dan
       3        2    33.33   dat
       6        4    33.33   de
       4        2    50.00   den
       1        0   100.00   denken
       1        0   100.00   ders
       1        1     0.00   desniettegen
       6        2    66.67   deze
       1        1     0.00   dezelfde
       1        0   100.00   dezelve
       4        2    50.00   die
       1        1     0.00   ding
       1        1     0.00   dit
       1        1     0.00   doedt
       1        0   100.00   doen
       1        1     0.00   dog
       1        0   100.00   door
       1        1     0.00   ee
       4        4     0.00   een
       1        0   100.00   eene
       1        1     0.00   egter
       1        1     0.00   eigen
       2        2     0.00   eld
      13        6    53.85   en
       1        1     0.00   even
       1        0   100.00   fangen
       2        1    50.00   ge
       1        0   100.00   gedaan
       3        3     0.00   gedaante
       1        0   100.00   geest
       1        0   100.00   gehoor
       1        1     0.00   gelijk
       2        2     0.00   gelijkenis
       1        0   100.00   geloof
       1        0   100.00   gelooven
       3        0   100.00   genade
       2        1    50.00   genadige
       1        0   100.00   genadigen
       1        0   100.00   gene
       1        1     0.00   genoemd
       1        0   100.00   geven
       1        1     0.00   geſproken
       1        0   100.00   gij
       2        0   100.00   god
       5        4    20.00   gods
       1        0   100.00   grond
       2        2     0.00   handel
       3        1    66.67   handelwijs
       2        1    50.00   heeft
       1        0   100.00   heer
       2        1    50.00   hier
       2        0   100.00   hij
       1        0   100.00   hoogen
       1        1     0.00   huwelijk
       2        0   100.00   ik
       1        1     0.00   im
       1        1     0.00   j
       1        1     0.00   jesus
       2        1    50.00   kan
       1        1     0.00   kunnen
       1        0   100.00   lijke
       1        1     0.00   maar
       1        0   100.00   mede
       1        0   100.00   medewerking
       3        3     0.00   men
       3        3     0.00   menſchelijk
       3        3     0.00   menſchen
       1        0   100.00   mers
       4        2    50.00   met
       1        0   100.00   mits
       2        2     0.00   moeten
       1        0   100.00   nadenkt
       1        1     0.00   natuur
       2        1    50.00   nu
       1        1     0.00   omſchreven
       5        3    40.00   onder
       1        0   100.00   ont
       1        1     0.00   ontleend
       2        2     0.00   ook
       1        1     0.00   op
       1        1     0.00   oten
       1        1     0.00   plaat
       1        0   100.00   prediken
       1        0   100.00   prediking
       1        1     0.00   redeneeren
       1        1     0.00   te
       1        0   100.00   u
       3        2    33.33   uit
       8        6    25.00   van
       1        0   100.00   veel
       1        1     0.00   verantwoo
       4        4     0.00   verbond
       1        1     0.00   volgen
       2        0   100.00   volken
       1        1     0.00   voltrokken
       2        2     0.00   voorge
       1        0   100.00   voorwaardelijke
       1        0   100.00   vrije
       3        1    66.67   wat
       1        0   100.00   welken
       2        2     0.00   wijze
       1        0   100.00   wil
       1        0   100.00   willen
       1        1     0.00   woorden
       2        2     0.00   wordt
       1        1     0.00   zal
       1        0   100.00   zaligheid
       1        1     0.00   zeggen
       1        0   100.00   zekere
       1        0   100.00   zen
       1        0   100.00   zig
       3        1    66.67   zij
       1        0   100.00   zijnde
       2        0   100.00   zijnen
       1        1     0.00   zondi
       1        0   100.00   zondige
       2        0   100.00   zoo
       1        1     0.00   zoogenoemde
       2        2     0.00   zou
       1        1     0.00   zulk
       1        0   100.00   zulke
       1        1     0.00   ſen
       1        1     0.00   ſommigen
       4        4     0.00   
       1        1     0.00   
       1        1     0.00   
