groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,"2498","2371","0.24259407526020815","andkasten in alle grootten van Fransch, Engelsch en Oostenrijksch f","0061,006e,0064,006b,0061,0073,0074,0065,006e,0020,0069,006e,0020,0061,006c,006c,0065,0020,0067,0072,006f,006f,0074,0074,0065,006e,0020,0076,0061,006e,0020,0046,0072,0061,006e,0073,0063,0068,002c,0020,0045,006e,0067,0065,006c,0073,0063,0068,0020,0065,006e,0020,004f,006f,0073,0074,0065,006e,0072,0069,006a,006b,0073,0063,0068,0020,0066","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
Semarangsch Gebak en Semarangsche Beschuit,","000a,0053,0065,006d,0061,0072,0061,006e,0067,0073,0063,0068,0020,0047,0065,0062,0061,006b,0020,0065,006e,0020,0053,0065,006d,0061,0072,0061,006e,0067,0073,0063,0068,0065,0020,0042,0065,0073,0063,0068,0075,0069,0074,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
uit de Wereldberoemde fabriek van Gebr","000a,0075,0069,0074,0020,0064,0065,0020,0057,0065,0072,0065,006c,0064,0062,0065,0072,006f,0065,006d,0064,0065,0020,0066,0061,0062,0072,0069,0065,006b,0020,0076,0061,006e,0020,0047,0065,0062,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
voor SOEKONGS, 40 à 42 voet.","000a,0076,006f,006f,0072,0020,0053,004f,0045,004b,004f,004e,0047,0053,002c,0020,0034,0030,0020,00e0,0020,0034,0032,0020,0076,006f,0065,0074,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"Bijzondere overeenkomsten bij belangrijke ","0042,0069,006a,007a,006f,006e,0064,0065,0072,0065,0020,006f,0076,0065,0072,0065,0065,006e,006b,006f,006d,0073,0074,0065,006e,0020,0062,0069,006a,0020,0062,0065,006c,0061,006e,0067,0072,0069,006a,006b,0065,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
Weener Ameublementen en Meubilair,","000a,0057,0065,0065,006e,0065,0072,0020,0041,006d,0065,0075,0062,006c,0065,006d,0065,006e,0074,0065,006e,0020,0065,006e,0020,004d,0065,0075,0062,0069,006c,0061,0069,0072,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,". Thonet in Weenen","002e,0020,0054,0068,006f,006e,0065,0074,0020,0069,006e,0020,0057,0065,0065,006e,0065,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
Eerstvolgende Afvaarten.","000a,0045,0065,0072,0073,0074,0076,006f,006c,0067,0065,006e,0064,0065,0020,0041,0066,0076,0061,0061,0072,0074,0065,006e,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"i","0069","","","none","2"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"van de Soerabaiasche Zeepfabrieken.","0076,0061,006e,0020,0064,0065,0020,0053,006f,0065,0072,0061,0062,0061,0069,0061,0073,0063,0068,0065,0020,005a,0065,0065,0070,0066,0061,0062,0072,0069,0065,006b,0065,006e,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
Beste ijzeren Br","000a,0042,0065,0073,0074,0065,0020,0069,006a,007a,0065,0072,0065,006e,0020,0042,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"TALOGUSSEN WORDEN OP AANVRAAG T","0054,0041,004c,004f,0047,0055,0053,0053,0045,004e,0020,0057,004f,0052,0044,0045,004e,0020,004f,0050,0020,0041,0041,004e,0056,0052,0041,0041,0047,0020,0054","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"",""," ","0020","false detection","9"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"s","0073","“","201c","misrecognised","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
","000a","","","none","8"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"E PAKETVAART ","0045,0020,0050,0041,004b,0045,0054,0056,0041,0041,0052,0054,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"Hebben steeds in voorrad:","0048,0065,0062,0062,0065,006e,0020,0073,0074,0065,0065,0064,0073,0020,0069,006e,0020,0076,006f,006f,0072,0072,0061,0064,003a","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"
Ka","000a,004b,0061"," ","0020","misrecognised","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,," ","0020","","","none","9"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00673349.nld.xml.txt,,,,"Amerikaansche Vruchten, enz","0041,006d,0065,0072,0069,006b,0061,0061,006e,0073,0063,0068,0065,0020,0056,0072,0075,0063,0068,0074,0065,006e,002c,0020,0065,006e,007a","","","none","1"
