groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,"27589","29520","0.23346261191054407","
glo-Russe, Comprenant les Trade-Unions","000a,0067,006c,006f,002d,0052,0075,0073,0073,0065,002c,0020,0043,006f,006d,0070,0072,0065,006e,0061,006e,0074,0020,006c,0065,0073,0020,0054,0072,0061,0064,0065,002d,0055,006e,0069,006f,006e,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," Et notre brave ministre du travail","0020,0045,0074,0020,006e,006f,0074,0072,0065,0020,0062,0072,0061,0076,0065,0020,006d,0069,006e,0069,0073,0074,0072,0065,0020,0064,0075,0020,0074,0072,0061,0076,0061,0069,006c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"e vous adresse la somme de 5 francs","0065,0020,0076,006f,0075,0073,0020,0061,0064,0072,0065,0073,0073,0065,0020,006c,0061,0020,0073,006f,006d,006d,0065,0020,0064,0065,0020,0035,0020,0066,0072,0061,006e,0063,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"ité journalière. — De la","0069,0074,00e9,0020,006a,006f,0075,0072,006e,0061,006c,0069,00e8,0072,0065,002e,0020,2014,0020,0044,0065,0020,006c,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"cité. Pourquoi ces restrictions ","0063,0069,0074,00e9,002e,0020,0050,006f,0075,0072,0071,0075,006f,0069,0020,0063,0065,0073,0020,0072,0065,0073,0074,0072,0069,0063,0074,0069,006f,006e,0073,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"tenir avant la fin de cette ann","0074,0065,006e,0069,0072,0020,0061,0076,0061,006e,0074,0020,006c,0061,0020,0066,0069,006e,0020,0064,0065,0020,0063,0065,0074,0074,0065,0020,0061,006e,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"c'est vaincre définitivement la ","0063,0027,0065,0073,0074,0020,0076,0061,0069,006e,0063,0072,0065,0020,0064,00e9,0066,0069,006e,0069,0074,0069,0076,0065,006d,0065,006e,0074,0020,006c,0061,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"indem","0069,006e,0064,0065,006d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"partir du premier jour","0070,0061,0072,0074,0069,0072,0020,0064,0075,0020,0070,0072,0065,006d,0069,0065,0072,0020,006a,006f,0075,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"e principe de demi-mesure.","0065,0020,0070,0072,0069,006e,0063,0069,0070,0065,0020,0064,0065,0020,0064,0065,006d,0069,002d,006d,0065,0073,0075,0072,0065,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"ats de la Région Parisienne","0061,0074,0073,0020,0064,0065,0020,006c,0061,0020,0052,00e9,0067,0069,006f,006e,0020,0050,0061,0072,0069,0073,0069,0065,006e,006e,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," qui prépare un congrès","0020,0071,0075,0069,0020,0070,0072,00e9,0070,0061,0072,0065,0020,0075,006e,0020,0063,006f,006e,0067,0072,00e8,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"eux qui courent à Villiers.","0065,0075,0078,0020,0071,0075,0069,0020,0063,006f,0075,0072,0065,006e,0074,0020,00e0,0020,0056,0069,006c,006c,0069,0065,0072,0073,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," Av. de Neuilly, Neuilly-s","0020,0041,0076,002e,0020,0064,0065,0020,004e,0065,0075,0069,006c,006c,0079,002c,0020,004e,0065,0075,0069,006c,006c,0079,002d,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"et 48, rue Auguste-Blanqui — G","0065,0074,0020,0034,0038,002c,0020,0072,0075,0065,0020,0041,0075,0067,0075,0073,0074,0065,002d,0042,006c,0061,006e,0071,0075,0069,0020,2014,0020,0047","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"De l","0044,0065,0020,006c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"n","006e","r","0072","misrecognised","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"allions pleinement","0061,006c,006c,0069,006f,006e,0073,0020,0070,006c,0065,0069,006e,0065,006d,0065,006e,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," serait plutôt n","0020,0073,0065,0072,0061,0069,0074,0020,0070,006c,0075,0074,00f4,0074,0020,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"étant blessé, le de","00e9,0074,0061,006e,0074,0020,0062,006c,0065,0073,0073,00e9,002c,0020,006c,0065,0020,0064,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"sera que de la moitié de c","0073,0065,0072,0061,0020,0071,0075,0065,0020,0064,0065,0020,006c,0061,0020,006d,006f,0069,0074,0069,00e9,0020,0064,0065,0020,0063","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"rcée, le minimum ne devant","0072,0063,00e9,0065,002c,0020,006c,0065,0020,006d,0069,006e,0069,006d,0075,006d,0020,006e,0065,0020,0064,0065,0076,0061,006e,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"Parleranno diversi oratori,","0050,0061,0072,006c,0065,0072,0061,006e,006e,006f,0020,0064,0069,0076,0065,0072,0073,0069,0020,006f,0072,0061,0074,006f,0072,0069,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"adhésion au Comité","0061,0064,0068,00e9,0073,0069,006f,006e,0020,0061,0075,0020,0043,006f,006d,0069,0074,00e9","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
réalisée par un ","000a,0072,00e9,0061,006c,0069,0073,00e9,0065,0020,0070,0061,0072,0020,0075,006e,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," à Charentonneau. — ","0020,00e0,0020,0043,0068,0061,0072,0065,006e,0074,006f,006e,006e,0065,0061,0075,002e,0020,2014,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
bon de poste) de 5 francs.","000a,0062,006f,006e,0020,0064,0065,0020,0070,006f,0073,0074,0065,0029,0020,0064,0065,0020,0035,0020,0066,0072,0061,006e,0063,0073,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
Vente Comptant ou à Créd","000a,0056,0065,006e,0074,0065,0020,0043,006f,006d,0070,0074,0061,006e,0074,0020,006f,0075,0020,00e0,0020,0043,0072,00e9,0064","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
à LA COURTINE (Creuse)","000a,00e0,0020,004c,0041,0020,0043,004f,0055,0052,0054,0049,004e,0045,0020,0028,0043,0072,0065,0075,0073,0065,0029","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"prodiges et procurent à","0070,0072,006f,0064,0069,0067,0065,0073,0020,0065,0074,0020,0070,0072,006f,0063,0075,0072,0065,006e,0074,0020,00e0","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"tous les genres de","0074,006f,0075,0073,0020,006c,0065,0073,0020,0067,0065,006e,0072,0065,0073,0020,0064,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"ari","0061,0072,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"'","0027","’","2019","misrecognised","11"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"ente en cas d","0065,006e,0074,0065,0020,0065,006e,0020,0063,0061,0073,0020,0064","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," annexé au proc","0020,0061,006e,006e,0065,0078,00e9,0020,0061,0075,0020,0070,0072,006f,0063","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," les dimanches ","0020,006c,0065,0073,0020,0064,0069,006d,0061,006e,0063,0068,0065,0073,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"es, l'ouvrier ar","0065,0073,002c,0020,006c,0027,006f,0075,0076,0072,0069,0065,0072,0020,0061,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," à penser qu'","0020,00e0,0020,0070,0065,006e,0073,0065,0072,0020,0071,0075,0027","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"laire devrait suffi","006c,0061,0069,0072,0065,0020,0064,0065,0076,0072,0061,0069,0074,0020,0073,0075,0066,0066,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," sur le salaire entier","0020,0073,0075,0072,0020,006c,0065,0020,0073,0061,006c,0061,0069,0072,0065,0020,0065,006e,0074,0069,0065,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"te in-","0074,0065,0020,0069,006e,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"celui de l'incapa","0063,0065,006c,0075,0069,0020,0064,0065,0020,006c,0027,0069,006e,0063,0061,0070,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"ente, — ce qui ne","0065,006e,0074,0065,002c,0020,2014,0020,0063,0065,0020,0071,0075,0069,0020,006e,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," nella sala Raymond Lefebv","0020,006e,0065,006c,006c,0061,0020,0073,0061,006c,0061,0020,0052,0061,0079,006d,006f,006e,0064,0020,004c,0065,0066,0065,0062,0076","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," comme cause profonde ","0020,0063,006f,006d,006d,0065,0020,0063,0061,0075,0073,0065,0020,0070,0072,006f,0066,006f,006e,0064,0065,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
d'Amsterdam.","000a,0064,0027,0041,006d,0073,0074,0065,0072,0064,0061,006d,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"Anglo-","0041,006e,0067,006c,006f,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"notre pays soit","006e,006f,0074,0072,0065,0020,0070,0061,0079,0073,0020,0073,006f,0069,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"fédéral qui","0066,00e9,0064,00e9,0072,0061,006c,0020,0071,0075,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"at international!","0061,0074,0020,0069,006e,0074,0065,0072,006e,0061,0074,0069,006f,006e,0061,006c,0021","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"ire, adresser tout","0069,0072,0065,002c,0020,0061,0064,0072,0065,0073,0073,0065,0072,0020,0074,006f,0075,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"horale Rouge de Sceaux. —","0068,006f,0072,0061,006c,0065,0020,0052,006f,0075,0067,0065,0020,0064,0065,0020,0053,0063,0065,0061,0075,0078,002e,0020,2014","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"2.","0032,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
marque en lui apportant","000a,006d,0061,0072,0071,0075,0065,0020,0065,006e,0020,006c,0075,0069,0020,0061,0070,0070,006f,0072,0074,0061,006e,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"mandez ","006d,0061,006e,0064,0065,007a,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"ue de Rivoli, Métro","0075,0065,0020,0064,0065,0020,0052,0069,0076,006f,006c,0069,002c,0020,004d,00e9,0074,0072,006f","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
SEBASTOPOL - PARIS","000a,0053,0045,0042,0041,0053,0054,004f,0050,004f,004c,0020,002d,0020,0050,0041,0052,0049,0053","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"isent chaque jour des","0069,0073,0065,006e,0074,0020,0063,0068,0061,0071,0075,0065,0020,006a,006f,0075,0072,0020,0064,0065,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"
ouverture, fermeture","000a,006f,0075,0076,0065,0072,0074,0075,0072,0065,002c,0020,0066,0065,0072,006d,0065,0074,0075,0072,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"Exelmans, Paris","0045,0078,0065,006c,006d,0061,006e,0073,002c,0020,0050,0061,0072,0069,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,,"comptes rendus","0063,006f,006d,0070,0074,0065,0073,0020,0072,0065,006e,0064,0075,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674790.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674790-00230696.fra.xml.txt,,,," d","0020,0064","","","none","4"
