groundTruth,result,wordIndexMissErrorRate,wordIndexFalseDetectionErrorRate,wordIndexSuccessRate,numberOfUniqueWordsInGroundTruth,numberOfUniqueWordsInResult,wordCountMissErrorRate,wordCountFalseDetectionErrorRate,wordCountSuccessRate,wordCountPrecision,wordCountRecall,wordCountFMeasure,numberOfWordsInGroundTruth,numberOfWordsInResult,Method and file,Method,File,Decorations
..\..\groundtruth\00046893.txt,..\..\Submissions\gt4hist\00046893.txt,0.6428571429,0.5,0.4166666667,14,10,0.6428571429,0.5454545455,0.4,0.4545454545,0.3571428571,0.4,14,11,gt4hist\00046893.txt,gt4hist,00046893.txt,0
..\..\groundtruth\00046895.txt,..\..\Submissions\gt4hist\00046895.txt,0.6323529412,0.6153846154,0.3759398496,68,65,0.6397058824,0.5185185185,0.4121643481,0.4814814815,0.4642857143,0.4727272727,84,81,gt4hist\00046895.txt,gt4hist,00046895.txt,0
..\..\groundtruth\00046896.txt,..\..\Submissions\gt4hist\00046896.txt,0.4444444444,0.4444444444,0.5555555556,81,81,0.4444444444,0.3571428571,0.5960264901,0.6428571429,0.6545454545,0.6486486486,110,112,gt4hist\00046896.txt,gt4hist,00046896.txt,0
..\..\groundtruth\00046897.txt,..\..\Submissions\gt4hist\00046897.txt,0.3882352941,0.380952381,0.6153846154,85,84,0.3941176471,0.3271028037,0.6376338077,0.6728971963,0.6728971963,0.6728971963,107,107,gt4hist\00046897.txt,gt4hist,00046897.txt,0
..\..\groundtruth\00046898.txt,..\..\Submissions\gt4hist\00046898.txt,0.4302325581,0.4367816092,0.5664739884,86,87,0.4331395349,0.3859649123,0.5895055064,0.6140350877,0.6422018349,0.6278026906,109,114,gt4hist\00046898.txt,gt4hist,00046898.txt,0
..\..\groundtruth\00046899.txt,..\..\Submissions\gt4hist\00046899.txt,0.3875,0.3875,0.6125,80,80,0.3875,0.3113207547,0.6483596157,0.6886792453,0.6886792453,0.6886792453,106,106,gt4hist\00046899.txt,gt4hist,00046899.txt,0
..\..\groundtruth\00046900.txt,..\..\Submissions\gt4hist\00046900.txt,0.3777777778,0.3636363636,0.6292134831,90,88,0.3814814815,0.3418803419,0.6377048774,0.6581196581,0.6695652174,0.6637931034,115,117,gt4hist\00046900.txt,gt4hist,00046900.txt,0
..\..\groundtruth\00046901.txt,..\..\Submissions\gt4hist\00046901.txt,0.4318181818,0.4252873563,0.5714285714,88,87,0.4403409091,0.3925233645,0.5825883209,0.6074766355,0.5909090909,0.599078341,110,107,gt4hist\00046901.txt,gt4hist,00046901.txt,0
..\..\groundtruth\00046902.txt,..\..\Submissions\gt4hist\00046902.txt,0.3764705882,0.3764705882,0.6235294118,85,85,0.3839215686,0.3097345133,0.6510654237,0.6902654867,0.6724137931,0.6812227074,116,113,gt4hist\00046902.txt,gt4hist,00046902.txt,0
..\..\groundtruth\00046903.txt,..\..\Submissions\gt4hist\00046903.txt,0.2857142857,0.3396226415,0.6862745098,49,53,0.2857142857,0.3230769231,0.6951026856,0.6769230769,0.7586206897,0.7154471545,58,65,gt4hist\00046903.txt,gt4hist,00046903.txt,0
..\..\groundtruth\00046905.txt,..\..\Submissions\gt4hist\00046905.txt,0.2978723404,0.2666666667,0.7173913043,47,45,0.2978723404,0.25,0.7252747253,0.75,0.7222222222,0.7358490566,54,52,gt4hist\00046905.txt,gt4hist,00046905.txt,0
..\..\groundtruth\00046906.txt,..\..\Submissions\gt4hist\00046906.txt,0.5288461538,0.5420560748,0.4644549763,104,107,0.5548659674,0.4814814815,0.479032072,0.5185185185,0.5,0.5090909091,140,135,gt4hist\00046906.txt,gt4hist,00046906.txt,0
..\..\groundtruth\00046907.txt,..\..\Submissions\gt4hist\00046907.txt,0.3622047244,0.3571428571,0.6403162055,127,126,0.3622047244,0.3444444444,0.6465534736,0.6555555556,0.6704545455,0.6629213483,176,180,gt4hist\00046907.txt,gt4hist,00046907.txt,0
..\..\groundtruth\00046908.txt,..\..\Submissions\gt4hist\00046908.txt,0.4761904762,0.5,0.511627907,126,132,0.4830687831,0.4101123596,0.5510049522,0.5898876404,0.5898876404,0.5898876404,178,178,gt4hist\00046908.txt,gt4hist,00046908.txt,0
..\..\groundtruth\00046909.txt,..\..\Submissions\gt4hist\00046909.txt,0.4132231405,0.4033613445,0.5916666667,121,119,0.4132231405,0.3333333333,0.6241758242,0.6666666667,0.6666666667,0.6666666667,165,165,gt4hist\00046909.txt,gt4hist,00046909.txt,0
..\..\groundtruth\00046910.txt,..\..\Submissions\gt4hist\00046910.txt,0.3548387097,0.36,0.6425702811,124,125,0.3575268817,0.2857142857,0.6764789131,0.7142857143,0.7103825137,0.7123287671,183,182,gt4hist\00046910.txt,gt4hist,00046910.txt,0
..\..\groundtruth\00046911.txt,..\..\Submissions\gt4hist\00046911.txt,0.3923076923,0.3923076923,0.6076923077,130,130,0.3961538462,0.3791208791,0.6122441937,0.6208791209,0.6569767442,0.6384180791,172,182,gt4hist\00046911.txt,gt4hist,00046911.txt,0
..\..\groundtruth\00046912.txt,..\..\Submissions\gt4hist\00046912.txt,0.4434782609,0.4621848739,0.547008547,115,119,0.4550724638,0.4011627907,0.5706118961,0.5988372093,0.6319018405,0.6149253731,163,172,gt4hist\00046912.txt,gt4hist,00046912.txt,0
..\..\groundtruth\00046913.txt,..\..\Submissions\gt4hist\00046913.txt,0.4083333333,0.4180327869,0.5867768595,120,122,0.4083333333,0.4023668639,0.5946349351,0.5976331361,0.6392405063,0.6177370031,158,169,gt4hist\00046913.txt,gt4hist,00046913.txt,0
..\..\groundtruth\00046914.txt,..\..\Submissions\gt4hist\00046914.txt,0.3692307692,0.3740458015,0.6283524904,130,131,0.3730769231,0.3459459459,0.6402012497,0.6540540541,0.6994219653,0.6759776536,173,185,gt4hist\00046914.txt,gt4hist,00046914.txt,0
..\..\groundtruth\00046915.txt,..\..\Submissions\gt4hist\00046915.txt,0.4436090226,0.4558823529,0.5501858736,133,136,0.4573934837,0.408045977,0.5662070892,0.591954023,0.6094674556,0.6005830904,169,174,gt4hist\00046915.txt,gt4hist,00046915.txt,0
..\..\groundtruth\00046916.txt,..\..\Submissions\gt4hist\00046916.txt,0.4297520661,0.4390243902,0.5655737705,121,123,0.4338842975,0.3941176471,0.5853243737,0.6058823529,0.6358024691,0.6204819277,162,170,gt4hist\00046916.txt,gt4hist,00046916.txt,0
..\..\groundtruth\00046917.txt,..\..\Submissions\gt4hist\00046917.txt,0.4473684211,0.4473684211,0.5526315789,114,114,0.451754386,0.3836477987,0.5803074445,0.6163522013,0.6202531646,0.61829653,158,159,gt4hist\00046917.txt,gt4hist,00046917.txt,0
..\..\groundtruth\00046918.txt,..\..\Submissions\gt4hist\00046918.txt,0.4137931034,0.4137931034,0.5862068966,116,116,0.4181034483,0.3987730061,0.5914038578,0.6012269939,0.6282051282,0.6144200627,156,163,gt4hist\00046918.txt,gt4hist,00046918.txt,0
..\..\groundtruth\00046919.txt,..\..\Submissions\gt4hist\00046919.txt,0.4583333333,0.4715447154,0.5349794239,120,123,0.4756944444,0.380952381,0.5677512654,0.619047619,0.6081871345,0.6135693215,171,168,gt4hist\00046919.txt,gt4hist,00046919.txt,0
..\..\groundtruth\00046920.txt,..\..\Submissions\gt4hist\00046920.txt,0.3966942149,0.4251968504,0.5887096774,121,127,0.4077134986,0.3575757576,0.6163374035,0.6424242424,0.6543209877,0.6483180428,162,165,gt4hist\00046920.txt,gt4hist,00046920.txt,0
