groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00046893.txt,..\..\Submissions\gt4hist\00046893.txt,83,62,0.4939759036,gt4hist\00046893.txt,gt4hist,00046893.txt,0
..\..\groundtruth\00046895.txt,..\..\Submissions\gt4hist\00046895.txt,457,493,0.693654267,gt4hist\00046895.txt,gt4hist,00046895.txt,0
..\..\groundtruth\00046896.txt,..\..\Submissions\gt4hist\00046896.txt,607,664,0.8319604613,gt4hist\00046896.txt,gt4hist,00046896.txt,0
..\..\groundtruth\00046897.txt,..\..\Submissions\gt4hist\00046897.txt,580,629,0.8103448276,gt4hist\00046897.txt,gt4hist,00046897.txt,0
..\..\groundtruth\00046898.txt,..\..\Submissions\gt4hist\00046898.txt,601,662,0.8086522463,gt4hist\00046898.txt,gt4hist,00046898.txt,0
..\..\groundtruth\00046899.txt,..\..\Submissions\gt4hist\00046899.txt,561,616,0.7914438503,gt4hist\00046899.txt,gt4hist,00046899.txt,0
..\..\groundtruth\00046900.txt,..\..\Submissions\gt4hist\00046900.txt,611,645,0.8363338789,gt4hist\00046900.txt,gt4hist,00046900.txt,0
..\..\groundtruth\00046901.txt,..\..\Submissions\gt4hist\00046901.txt,551,606,0.1524500907,gt4hist\00046901.txt,gt4hist,00046901.txt,0
..\..\groundtruth\00046902.txt,..\..\Submissions\gt4hist\00046902.txt,581,636,0.8072289157,gt4hist\00046902.txt,gt4hist,00046902.txt,0
..\..\groundtruth\00046903.txt,..\..\Submissions\gt4hist\00046903.txt,331,361,0.4894259819,gt4hist\00046903.txt,gt4hist,00046903.txt,0
..\..\groundtruth\00046905.txt,..\..\Submissions\gt4hist\00046905.txt,290,317,0.7,gt4hist\00046905.txt,gt4hist,00046905.txt,0
..\..\groundtruth\00046906.txt,..\..\Submissions\gt4hist\00046906.txt,724,758,0.3577348066,gt4hist\00046906.txt,gt4hist,00046906.txt,0
..\..\groundtruth\00046907.txt,..\..\Submissions\gt4hist\00046907.txt,908,991,0.1740088106,gt4hist\00046907.txt,gt4hist,00046907.txt,0
..\..\groundtruth\00046908.txt,..\..\Submissions\gt4hist\00046908.txt,889,972,0.7817772778,gt4hist\00046908.txt,gt4hist,00046908.txt,0
..\..\groundtruth\00046909.txt,..\..\Submissions\gt4hist\00046909.txt,817,887,0.2827417381,gt4hist\00046909.txt,gt4hist,00046909.txt,0
