groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00046893.txt,..\..\Submissions\gt4hist\00046893.txt,77,55,0.4805194805,gt4hist\00046893.txt,gt4hist,00046893.txt,0
..\..\groundtruth\00046895.txt,..\..\Submissions\gt4hist\00046895.txt,435,470,0.6850574713,gt4hist\00046895.txt,gt4hist,00046895.txt,0
..\..\groundtruth\00046896.txt,..\..\Submissions\gt4hist\00046896.txt,585,641,0.8307692308,gt4hist\00046896.txt,gt4hist,00046896.txt,0
..\..\groundtruth\00046897.txt,..\..\Submissions\gt4hist\00046897.txt,558,606,0.811827957,gt4hist\00046897.txt,gt4hist,00046897.txt,0
..\..\groundtruth\00046898.txt,..\..\Submissions\gt4hist\00046898.txt,579,639,0.8065630397,gt4hist\00046898.txt,gt4hist,00046898.txt,0
..\..\groundtruth\00046899.txt,..\..\Submissions\gt4hist\00046899.txt,539,594,0.7922077922,gt4hist\00046899.txt,gt4hist,00046899.txt,0
..\..\groundtruth\00046900.txt,..\..\Submissions\gt4hist\00046900.txt,589,622,0.8387096774,gt4hist\00046900.txt,gt4hist,00046900.txt,0
..\..\groundtruth\00046901.txt,..\..\Submissions\gt4hist\00046901.txt,529,584,0.7221172023,gt4hist\00046901.txt,gt4hist,00046901.txt,0
..\..\groundtruth\00046902.txt,..\..\Submissions\gt4hist\00046902.txt,560,610,0.8125,gt4hist\00046902.txt,gt4hist,00046902.txt,0
..\..\groundtruth\00046903.txt,..\..\Submissions\gt4hist\00046903.txt,316,344,0.8101265823,gt4hist\00046903.txt,gt4hist,00046903.txt,0
..\..\groundtruth\00046905.txt,..\..\Submissions\gt4hist\00046905.txt,273,297,0.7582417582,gt4hist\00046905.txt,gt4hist,00046905.txt,0
..\..\groundtruth\00046906.txt,..\..\Submissions\gt4hist\00046906.txt,698,705,0.7163323782,gt4hist\00046906.txt,gt4hist,00046906.txt,0
..\..\groundtruth\00046907.txt,..\..\Submissions\gt4hist\00046907.txt,881,963,0.7389330306,gt4hist\00046907.txt,gt4hist,00046907.txt,0
..\..\groundtruth\00046908.txt,..\..\Submissions\gt4hist\00046908.txt,862,944,0.7807424594,gt4hist\00046908.txt,gt4hist,00046908.txt,0
..\..\groundtruth\00046909.txt,..\..\Submissions\gt4hist\00046909.txt,789,860,0.7477820025,gt4hist\00046909.txt,gt4hist,00046909.txt,0
..\..\groundtruth\00046910.txt,..\..\Submissions\gt4hist\00046910.txt,913,978,0.852135816,gt4hist\00046910.txt,gt4hist,00046910.txt,0
..\..\groundtruth\00046911.txt,..\..\Submissions\gt4hist\00046911.txt,853,943,0.735052755,gt4hist\00046911.txt,gt4hist,00046911.txt,0
..\..\groundtruth\00046912.txt,..\..\Submissions\gt4hist\00046912.txt,851,940,0.8119858989,gt4hist\00046912.txt,gt4hist,00046912.txt,0
..\..\groundtruth\00046913.txt,..\..\Submissions\gt4hist\00046913.txt,781,876,0.7989756722,gt4hist\00046913.txt,gt4hist,00046913.txt,0
..\..\groundtruth\00046914.txt,..\..\Submissions\gt4hist\00046914.txt,900,976,0.8233333333,gt4hist\00046914.txt,gt4hist,00046914.txt,0
..\..\groundtruth\00046915.txt,..\..\Submissions\gt4hist\00046915.txt,849,914,0.7679623086,gt4hist\00046915.txt,gt4hist,00046915.txt,0
..\..\groundtruth\00046916.txt,..\..\Submissions\gt4hist\00046916.txt,852,944,0.8075117371,gt4hist\00046916.txt,gt4hist,00046916.txt,0
..\..\groundtruth\00046917.txt,..\..\Submissions\gt4hist\00046917.txt,867,953,0.8200692042,gt4hist\00046917.txt,gt4hist,00046917.txt,0
..\..\groundtruth\00046918.txt,..\..\Submissions\gt4hist\00046918.txt,825,896,0.8254545455,gt4hist\00046918.txt,gt4hist,00046918.txt,0
..\..\groundtruth\00046919.txt,..\..\Submissions\gt4hist\00046919.txt,856,915,0.7453271028,gt4hist\00046919.txt,gt4hist,00046919.txt,0
..\..\groundtruth\00046920.txt,..\..\Submissions\gt4hist\00046920.txt,851,921,0.8143360752,gt4hist\00046920.txt,gt4hist,00046920.txt,0
..\..\groundtruth\00046921.txt,..\..\Submissions\gt4hist\00046921.txt,829,882,0.7864897467,gt4hist\00046921.txt,gt4hist,00046921.txt,0
..\..\groundtruth\00046922.txt,..\..\Submissions\gt4hist\00046922.txt,861,904,0.7514518002,gt4hist\00046922.txt,gt4hist,00046922.txt,0
..\..\groundtruth\00046923.txt,..\..\Submissions\gt4hist\00046923.txt,833,885,0.7346938776,gt4hist\00046923.txt,gt4hist,00046923.txt,0
..\..\groundtruth\00046924.txt,..\..\Submissions\gt4hist\00046924.txt,662,732,0.7824773414,gt4hist\00046924.txt,gt4hist,00046924.txt,0
..\..\groundtruth\00046925.txt,..\..\Submissions\gt4hist\00046925.txt,799,860,0.7584480601,gt4hist\00046925.txt,gt4hist,00046925.txt,0
..\..\groundtruth\00046926.txt,..\..\Submissions\gt4hist\00046926.txt,817,888,0.7772337821,gt4hist\00046926.txt,gt4hist,00046926.txt,0
..\..\groundtruth\00046927.txt,..\..\Submissions\gt4hist\00046927.txt,839,905,0.8128724672,gt4hist\00046927.txt,gt4hist,00046927.txt,0
..\..\groundtruth\00046928.txt,..\..\Submissions\gt4hist\00046928.txt,529,570,0.7920604915,gt4hist\00046928.txt,gt4hist,00046928.txt,0
..\..\groundtruth\00046929.txt,..\..\Submissions\gt4hist\00046929.txt,857,925,0.8413068845,gt4hist\00046929.txt,gt4hist,00046929.txt,0
..\..\groundtruth\00046930.txt,..\..\Submissions\gt4hist\00046930.txt,818,880,0.8435207824,gt4hist\00046930.txt,gt4hist,00046930.txt,0
..\..\groundtruth\00046931.txt,..\..\Submissions\gt4hist\00046931.txt,866,951,0.8290993072,gt4hist\00046931.txt,gt4hist,00046931.txt,0
..\..\groundtruth\00046932.txt,..\..\Submissions\gt4hist\00046932.txt,749,814,0.826435247,gt4hist\00046932.txt,gt4hist,00046932.txt,0
..\..\groundtruth\00046933.txt,..\..\Submissions\gt4hist\00046933.txt,745,810,0.7422818792,gt4hist\00046933.txt,gt4hist,00046933.txt,0
..\..\groundtruth\00046934.txt,..\..\Submissions\gt4hist\00046934.txt,929,1018,0.8234660926,gt4hist\00046934.txt,gt4hist,00046934.txt,0
..\..\groundtruth\00046935.txt,..\..\Submissions\gt4hist\00046935.txt,783,823,0.7190293742,gt4hist\00046935.txt,gt4hist,00046935.txt,0
..\..\groundtruth\00046936.txt,..\..\Submissions\gt4hist\00046936.txt,775,825,0.824516129,gt4hist\00046936.txt,gt4hist,00046936.txt,0
