groundTruth,result,wordsInGroundTruth,wordsInResult,wordAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00046893.txt,..\..\Submissions\gt4hist\00046893.txt,14,11,0.2142857143,gt4hist\00046893.txt,gt4hist,00046893.txt,0
..\..\groundtruth\00046895.txt,..\..\Submissions\gt4hist\00046895.txt,84,81,0.4166666667,gt4hist\00046895.txt,gt4hist,00046895.txt,0
..\..\groundtruth\00046896.txt,..\..\Submissions\gt4hist\00046896.txt,110,112,0.5909090909,gt4hist\00046896.txt,gt4hist,00046896.txt,0
..\..\groundtruth\00046897.txt,..\..\Submissions\gt4hist\00046897.txt,107,107,0.6168224299,gt4hist\00046897.txt,gt4hist,00046897.txt,0
..\..\groundtruth\00046898.txt,..\..\Submissions\gt4hist\00046898.txt,109,114,0.5596330275,gt4hist\00046898.txt,gt4hist,00046898.txt,0
..\..\groundtruth\00046899.txt,..\..\Submissions\gt4hist\00046899.txt,106,106,0.6509433962,gt4hist\00046899.txt,gt4hist,00046899.txt,0
..\..\groundtruth\00046900.txt,..\..\Submissions\gt4hist\00046900.txt,115,117,0.652173913,gt4hist\00046900.txt,gt4hist,00046900.txt,0
..\..\groundtruth\00046901.txt,..\..\Submissions\gt4hist\00046901.txt,110,107,0.09090909091,gt4hist\00046901.txt,gt4hist,00046901.txt,0
..\..\groundtruth\00046902.txt,..\..\Submissions\gt4hist\00046902.txt,116,113,0.6465517241,gt4hist\00046902.txt,gt4hist,00046902.txt,0
..\..\groundtruth\00046903.txt,..\..\Submissions\gt4hist\00046903.txt,58,65,0.3275862069,gt4hist\00046903.txt,gt4hist,00046903.txt,0
..\..\groundtruth\00046905.txt,..\..\Submissions\gt4hist\00046905.txt,54,52,0.5925925926,gt4hist\00046905.txt,gt4hist,00046905.txt,0
..\..\groundtruth\00046906.txt,..\..\Submissions\gt4hist\00046906.txt,140,135,0.2071428571,gt4hist\00046906.txt,gt4hist,00046906.txt,0
..\..\groundtruth\00046907.txt,..\..\Submissions\gt4hist\00046907.txt,176,180,0.005681818182,gt4hist\00046907.txt,gt4hist,00046907.txt,0
..\..\groundtruth\00046908.txt,..\..\Submissions\gt4hist\00046908.txt,178,178,0.5337078652,gt4hist\00046908.txt,gt4hist,00046908.txt,0
..\..\groundtruth\00046909.txt,..\..\Submissions\gt4hist\00046909.txt,165,165,0.1272727273,gt4hist\00046909.txt,gt4hist,00046909.txt,0
..\..\groundtruth\00046910.txt,..\..\Submissions\gt4hist\00046910.txt,183,182,0.6830601093,gt4hist\00046910.txt,gt4hist,00046910.txt,0
..\..\groundtruth\00046911.txt,..\..\Submissions\gt4hist\00046911.txt,172,182,0.476744186,gt4hist\00046911.txt,gt4hist,00046911.txt,0
..\..\groundtruth\00046912.txt,..\..\Submissions\gt4hist\00046912.txt,163,172,0.5337423313,gt4hist\00046912.txt,gt4hist,00046912.txt,0
..\..\groundtruth\00046913.txt,..\..\Submissions\gt4hist\00046913.txt,158,169,0.5506329114,gt4hist\00046913.txt,gt4hist,00046913.txt,0
..\..\groundtruth\00046914.txt,..\..\Submissions\gt4hist\00046914.txt,173,185,0.612716763,gt4hist\00046914.txt,gt4hist,00046914.txt,0
..\..\groundtruth\00046915.txt,..\..\Submissions\gt4hist\00046915.txt,169,174,0.3786982249,gt4hist\00046915.txt,gt4hist,00046915.txt,0
..\..\groundtruth\00046916.txt,..\..\Submissions\gt4hist\00046916.txt,162,170,0.5864197531,gt4hist\00046916.txt,gt4hist,00046916.txt,0
..\..\groundtruth\00046917.txt,..\..\Submissions\gt4hist\00046917.txt,158,159,0.5886075949,gt4hist\00046917.txt,gt4hist,00046917.txt,0
..\..\groundtruth\00046918.txt,..\..\Submissions\gt4hist\00046918.txt,156,163,0.5769230769,gt4hist\00046918.txt,gt4hist,00046918.txt,0
..\..\groundtruth\00046919.txt,..\..\Submissions\gt4hist\00046919.txt,172,168,0.476744186,gt4hist\00046919.txt,gt4hist,00046919.txt,0
